bill_id,date,product_name,quantity,price_per_unit,total_amount
10001,2026-02-23,Erasers,2,5,10
10002,2026-02-23,Pens,3,12,36
10003,2026-02-23,Highlighters,1,30,30
10004,2026-02-23,Pens,2,12,24
10005,2026-02-23,Pencils,3,7,21
10006,2026-02-23,Notebooks,2,60,120
10007,2026-02-23,Pencils,2,7,14
10008,2026-02-23,Pens,4,12,48
10009,2026-02-23,Pens,3,12,36
10010,2026-02-23,Pens,4,12,48
10011,2026-02-23,Pencils,7,7,49
10012,2026-02-23,Pens,1,12,12
10013,2026-02-23,Notebooks,2,60,120
10014,2026-02-23,Notebooks,1,60,60
10015,2026-02-23,Staplers,1,120,120
10016,2026-02-24,Highlighters,1,30,30
10017,2026-02-24,Pens,4,12,48
10018,2026-02-24,Notebooks,1,60,60
10019,2026-02-24,Files,2,45,90
10020,2026-02-24,Notebooks,4,60,240
10021,2026-02-24,Pens,6,12,72
10022,2026-02-25,Notebooks,2,60,120
10023,2026-02-25,Pencils,2,7,14
10024,2026-02-25,Notebooks,3,60,180
10025,2026-02-25,Files,1,45,45
10026,2026-02-25,Files,3,45,135
10027,2026-02-26,Pens,4,12,48
10028,2026-02-26,Pencils,2,7,14
10029,2026-02-26,Notebooks,3,60,180
10030,2026-02-26,Notebooks,3,60,180
10031,2026-02-26,Notebooks,1,60,60
10032,2026-02-26,Markers,1,35,35
10033,2026-02-26,Notebooks,2,60,120
10034,2026-02-26,Pencils,5,7,35
10035,2026-02-26,Notebooks,3,60,180
10036,2026-02-27,Pens,1,12,12
10037,2026-02-27,Markers,1,35,35
10038,2026-02-27,Pencils,3,7,21
10039,2026-02-27,Notebooks,2,60,120
10040,2026-02-27,Pens,6,12,72
10041,2026-02-27,Notebooks,1,60,60
10042,2026-02-27,Files,2,45,90
10043,2026-02-27,Notebooks,5,60,300
10044,2026-02-28,Pens,2,12,24
10045,2026-02-28,Pens,1,12,12
10046,2026-02-28,Pens,5,12,60
10047,2026-02-28,Notebooks,5,60,300
10048,2026-02-28,Notebooks,3,60,180
10049,2026-02-28,Files,4,45,180
10050,2026-02-28,Pens,2,12,24
10051,2026-02-28,Markers,4,35,140
10052,2026-03-01,Highlighters,2,30,60
10053,2026-03-01,Staplers,1,120,120
10054,2026-03-01,Pencils,6,7,42
10055,2026-03-01,Pencils,11,7,77
10056,2026-03-01,Erasers,6,5,30
10057,2026-03-01,Pencils,3,7,21
10058,2026-03-01,Pencils,1,7,7
10059,2026-03-02,Staplers,1,120,120
10060,2026-03-02,Pencils,3,7,21
10061,2026-03-02,Pens,6,12,72
10062,2026-03-02,Erasers,2,5,10
10063,2026-03-02,Pens,5,12,60
10064,2026-03-02,Notebooks,3,60,180
10065,2026-03-03,Pencils,3,7,21
10066,2026-03-03,Pens,1,12,12
10067,2026-03-03,Staplers,2,120,240
10068,2026-03-03,Pencils,5,7,35
10069,2026-03-03,Pens,5,12,60
10070,2026-03-03,Pens,2,12,24
10071,2026-03-03,Highlighters,2,30,60
10072,2026-03-03,Pencils,6,7,42
10073,2026-03-03,Pens,1,12,12
10074,2026-03-03,Markers,1,35,35
10075,2026-03-03,Notebooks,1,60,60
10076,2026-03-03,Staplers,1,120,120
10077,2026-03-03,Markers,4,35,140
10078,2026-03-03,Pens,9,12,108
10079,2026-03-03,Erasers,5,5,25
10080,2026-03-04,Files,1,45,45
10081,2026-03-04,Files,1,45,45
10082,2026-03-04,Notebooks,5,60,300
10083,2026-03-04,Notebooks,4,60,240
10084,2026-03-04,Pencils,4,7,28
10085,2026-03-04,Pens,3,12,36
10086,2026-03-04,Pens,4,12,48
10087,2026-03-04,Pens,8,12,96
10088,2026-03-04,Erasers,3,5,15
10089,2026-03-04,Pencils,1,7,7
10090,2026-03-04,Pencils,1,7,7
10091,2026-03-04,Pens,7,12,84
10092,2026-03-04,Highlighters,1,30,30
10093,2026-03-05,Highlighters,1,30,30
10094,2026-03-05,Pencils,8,7,56
10095,2026-03-05,Notebooks,4,60,240
10096,2026-03-05,Pens,3,12,36
10097,2026-03-05,Highlighters,3,30,90
10098,2026-03-05,Staplers,1,120,120
10099,2026-03-06,Files,4,45,180
10100,2026-03-06,Files,1,45,45
10101,2026-03-06,Pens,5,12,60
10102,2026-03-06,Highlighters,3,30,90
10103,2026-03-06,Notebooks,1,60,60
10104,2026-03-06,Files,7,45,315
10105,2026-03-06,Pencils,5,7,35
10106,2026-03-06,Notebooks,1,60,60
10107,2026-03-06,Pencils,7,7,49
10108,2026-03-06,Pens,4,12,48
10109,2026-03-06,Pens,5,12,60
10110,2026-03-06,Pencils,7,7,49
10111,2026-03-06,Notebooks,3,60,180
10112,2026-03-06,Markers,1,35,35
10113,2026-03-07,Notebooks,3,60,180
10114,2026-03-07,Pens,1,12,12
10115,2026-03-07,Notebooks,1,60,60
10116,2026-03-07,Pens,4,12,48
10117,2026-03-07,Pens,5,12,60
10118,2026-03-07,Notebooks,3,60,180
10119,2026-03-07,Notebooks,3,60,180
10120,2026-03-07,Erasers,1,5,5
10121,2026-03-07,Erasers,3,5,15
10122,2026-03-07,Pencils,4,7,28
10123,2026-03-07,Notebooks,1,60,60
10124,2026-03-08,Pens,6,12,72
10125,2026-03-08,Pencils,4,7,28
10126,2026-03-08,Markers,4,35,140
10127,2026-03-08,Pens,2,12,24
10128,2026-03-08,Pens,3,12,36
10129,2026-03-09,Highlighters,1,30,30
10130,2026-03-09,Notebooks,4,60,240
10131,2026-03-09,Markers,3,35,105
10132,2026-03-09,Erasers,1,5,5
10133,2026-03-09,Pencils,2,7,14
10134,2026-03-10,Markers,2,35,70
10135,2026-03-10,Pencils,2,7,14
10136,2026-03-10,Pens,3,12,36
10137,2026-03-10,Notebooks,4,60,240
10138,2026-03-10,Notebooks,4,60,240
10139,2026-03-10,Files,1,45,45
10140,2026-03-11,Staplers,1,120,120
10141,2026-03-11,Erasers,1,5,5
10142,2026-03-11,Pens,7,12,84
10143,2026-03-11,Notebooks,3,60,180
10144,2026-03-11,Notebooks,5,60,300
10145,2026-03-11,Files,2,45,90
10146,2026-03-11,Erasers,5,5,25
10147,2026-03-11,Notebooks,1,60,60
10148,2026-03-12,Pencils,6,7,42
10149,2026-03-12,Notebooks,2,60,120
10150,2026-03-12,Erasers,5,5,25
10151,2026-03-12,Pens,6,12,72
10152,2026-03-12,Pencils,4,7,28
10153,2026-03-12,Markers,2,35,70
10154,2026-03-12,Pencils,8,7,56
10155,2026-03-12,Pens,5,12,60
10156,2026-03-13,Pens,5,12,60
10157,2026-03-13,Erasers,3,5,15
10158,2026-03-13,Pens,6,12,72
10159,2026-03-13,Markers,2,35,70
10160,2026-03-13,Pencils,4,7,28
10161,2026-03-13,Erasers,3,5,15
10162,2026-03-13,Pens,3,12,36
10163,2026-03-13,Pencils,5,7,35
10164,2026-03-13,Files,2,45,90
10165,2026-03-13,Markers,1,35,35
10166,2026-03-13,Pens,2,12,24
10167,2026-03-13,Notebooks,2,60,120
10168,2026-03-13,Pens,4,12,48
10169,2026-03-14,Notebooks,5,60,300
10170,2026-03-14,Notebooks,1,60,60
10171,2026-03-14,Pens,1,12,12
10172,2026-03-14,Pens,6,12,72
10173,2026-03-14,Pencils,5,7,35
10174,2026-03-14,Highlighters,1,30,30
10175,2026-03-14,Files,4,45,180
10176,2026-03-14,Notebooks,3,60,180
10177,2026-03-14,Staplers,2,120,240
10178,2026-03-14,Notebooks,1,60,60
10179,2026-03-14,Files,1,45,45
10180,2026-03-14,Notebooks,4,60,240
10181,2026-03-14,Pens,8,12,96
10182,2026-03-14,Pencils,3,7,21
